word,trans,kk,level
ability,能力, /ə'bɪlətɪ/,2
able,能夠；有能力的, /'ebl/,2
aboard,在船（飛機、車）上, /ə'bɔrd/,2
about,關於；大約, /ə'baʊt/,2
above,在…之上；高於, /ə'bʌv/,2
abroad,在國外；到國外, /ə'brɔd/,2
absent,缺席的；不在場的, /'æbsnt/,2
accept,接受；答應, /æk'sɛpt/,2
accident,事故；意外事件, /'æksədənt/,2
achieve,實現；達成, /ə'tʃiv/,2
across,橫過；在…對面, /ə'krɔs/,2
act,行動；扮演, /ækt/,2
action,行動；作用, /'ækʃən/,2
active,積極的；活躍的, /'æktɪv/,2
activity,活動, /æk'tɪvətɪ/,2
actor,男演員, /'æktɚ/,2
actress,女演員, /'æktrɪs/,2
actual,實際的；真實的, /'æktʃʊəl/,2
actually,實際上；竟然, /'æktʃʊəlɪ/,2
add,增加；添加, /æd/,2
addition,增加；附加物, /ə'dɪʃən/,2
address,地址；演講, /ə'drɛs/,2
admire,欽佩；欣賞, /əd'maɪr/,2
admit,承認；准許進入, /əd'mɪt/,2
adopt,採用；收養, /ə'dɑpt/,2
adult,成年人, /ə'dʌlt/,2
advance,前進；預付, /əd'væns/,2
advantage,優勢；好處, /əd'væntɪdʒ/,2
advice,建議；忠告, /əd'vaɪs/,2
advise,建議；勸告, /əd'vaɪz/,2
afford,負擔得起；提供, /ə'fɔrd/,2
afraid,害怕的；擔心的, /ə'fred/,2
after,在…之後, /'æftɚ/,2
afternoon,下午, /'æftɚ'nun/,2
again,再次；又, /ə'ɡɛn/,2
against,反對；緊靠著, /ə'ɡɛnst/,2
age,年齡；時代, /edʒ/,2
agent,代理人；經紀人, /'edʒənt/,2
agree,同意；贊成, /ə'ɡri/,2
agreement,協議；同意, /ə'ɡrimənt/,2
ahead,在前面；向前, /ə'hɛd/,2
aid,援助；幫助, /ed/,2
aim,目標；瞄準, /em/,2
air,空氣；天空, /ɛr/,2
aircraft,飛機；航空器, /'ɛr'kræft/,2
airline,航空公司, /'ɛr'laɪn/,2
airplane,飛機, /'ɛr'plen/,2
airport,機場, /'ɛr'pɔrt/,2
alarm,警報；鬧鐘, /ə'lɑrm/,2
